country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
BR,-3.2,-52.21,76.14,90.0,88.0,2.59,2019-03-05 23:58:56
ES,39.57,-1.21,55.0,93.0,20.0,2.24,2019-03-06 00:03:05
CN,34.57,105.89,28.58,79.0,56.0,4.05,2019-03-06 00:03:12
TR,41.38,33.78,24.8,85.0,20.0,3.6,2019-03-06 00:03:12
AR,-34.61,-58.44,75.2,83.0,0.0,10.29,2019-03-06 00:00:02
,,,,,,,
BT,27.43,89.41,15.57,89.0,32.0,1.92,2019-03-05 23:58:20
RU,70.0,135.55,-23.49,34.0,24.0,3.71,2019-03-06 00:03:13
MX,15.86,-97.07,86.0,66.0,5.0,8.05,2019-03-05 22:40:00
SA,24.63,46.72,66.2,22.0,0.0,11.41,2019-03-05 23:00:00
GR,39.42,22.43,42.8,87.0,40.0,4.72,2019-03-05 22:50:00
JP,43.32,145.57,30.2,74.0,0.0,10.29,2019-03-05 23:30:00
,,,,,,,
ZA,-25.77,29.46,59.45,95.0,0.0,7.18,2019-03-06 00:03:15
BR,-7.52,-72.89,84.2,79.0,40.0,0.47,2019-03-05 23:00:00
AR,-36.9,-62.36,67.28,46.0,8.0,6.06,2019-03-06 00:03:15
US,33.85,-118.12,66.2,59.0,75.0,7.63,2019-03-06 00:01:28
MY,1.24,111.46,73.4,100.0,80.0,3.36,2019-03-05 23:00:00
GB,53.52,-2.49,46.99,87.0,92.0,6.93,2019-03-06 00:03:12
MG,-25.17,45.06,75.65,88.0,48.0,12.33,2019-03-06 00:03:20
PH,15.79,120.99,71.78,84.0,0.0,2.82,2019-03-06 00:02:17
GN,9.52,-13.7,78.03,100.0,0.0,5.95,2019-03-06 00:01:15
US,36.97,-122.03,59.0,71.0,75.0,14.99,2019-03-06 00:00:09
US,39.95,-94.76,21.2,28.0,40.0,14.99,2019-03-05 23:58:35
RU,69.3,139.9,-30.51,47.0,8.0,2.71,2019-03-06 00:03:26
DZ,36.57,4.2,41.63,90.0,0.0,2.04,2019-03-06 00:03:29
RU,60.25,47.79,31.91,93.0,88.0,8.08,2019-03-06 00:03:29
HN,16.35,-86.43,82.4,69.0,20.0,9.17,2019-03-05 23:00:00
CL,-30.6,-71.2,65.75,80.0,0.0,2.82,2019-03-06 00:03:30
AR,-29.41,-66.86,75.2,78.0,0.0,0.92,2019-03-05 23:59:27
RU,59.77,30.8,15.01,78.0,20.0,13.42,2019-03-05 23:55:35
BR,-29.69,-53.81,82.4,65.0,40.0,6.93,2019-03-05 23:00:00
ID,-9.11,124.89,79.2,100.0,76.0,2.82,2019-03-06 00:03:31
JP,24.34,124.16,68.0,88.0,75.0,8.05,2019-03-05 23:43:00
AU,-25.24,130.99,77.0,38.0,0.0,16.11,2019-03-05 23:00:00
CD,2.74,23.78,74.61,90.0,0.0,2.04,2019-03-06 00:03:32
CA,45.78,-71.93,16.0,51.0,20.0,2.24,2019-03-06 00:02:06
US,45.52,-122.67,46.4,38.0,75.0,14.99,2019-03-06 00:03:08
US,30.3,-99.24,46.4,38.0,1.0,8.05,2019-03-06 00:02:21
CD,-4.54,18.6,74.07,92.0,12.0,4.27,2019-03-06 00:03:33
EC,-2.03,-79.75,82.4,78.0,75.0,4.7,2019-03-06 00:01:15
NE,14.51,6.76,67.1,64.0,0.0,2.59,2019-03-06 00:03:34
US,44.1,-69.38,27.0,53.0,1.0,4.7,2019-03-06 00:02:20
,,,,,,,
RU,67.8,130.41,-11.88,52.0,64.0,2.93,2019-03-05 23:59:29
MZ,-23.87,35.38,81.23,85.0,92.0,15.12,2019-03-05 23:59:41
TR,36.95,36.2,54.0,100.0,0.0,4.7,2019-03-06 00:01:42
CA,58.52,-117.13,19.4,57.0,20.0,8.05,2019-03-05 23:00:00
NE,18.74,7.39,60.39,50.0,0.0,3.38,2019-03-06 00:03:35
US,34.64,-120.46,57.2,87.0,90.0,17.22,2019-03-06 00:00:26
,,,,,,,
GA,-3.44,10.65,78.53,100.0,92.0,3.04,2019-03-06 00:03:36
BR,-5.2,-35.46,78.8,88.0,40.0,3.36,2019-03-05 23:00:00
AI,18.22,-63.06,77.0,69.0,40.0,12.75,2019-03-05 23:46:22
SB,-10.46,161.92,83.21,100.0,32.0,9.42,2019-03-05 23:58:46
IR,33.6,56.92,30.2,71.0,0.0,2.59,2019-03-06 00:03:36
AU,-33.85,151.22,93.99,31.0,0.0,9.17,2019-03-06 00:03:04
JP,33.93,134.5,52.0,70.0,75.0,5.82,2019-03-05 23:54:43
KZ,43.6,73.76,33.75,80.0,64.0,4.61,2019-03-06 00:03:37
BR,-17.29,-42.73,73.31,80.0,12.0,7.74,2019-03-06 00:03:37
RU,60.06,69.92,9.45,76.0,8.0,4.94,2019-03-06 00:03:38
MA,34.03,-5.02,57.2,62.0,0.0,11.41,2019-03-05 23:30:00
FR,43.56,6.97,51.01,65.0,0.0,3.36,2019-03-06 00:02:02
ID,-2.99,104.76,77.0,100.0,40.0,3.36,2019-03-05 23:30:00
CA,60.75,-137.51,8.06,72.0,0.0,2.82,2019-03-06 00:03:39
ID,-7.38,108.21,66.65,92.0,64.0,2.93,2019-03-06 00:03:39
CN,49.2,119.7,9.54,58.0,0.0,6.73,2019-03-06 00:03:39
IN,24.28,75.06,55.8,67.0,56.0,2.93,2019-03-06 00:03:40
FR,46.42,3.91,37.99,59.0,0.0,8.75,2019-03-06 00:01:28
BR,-18.6,-46.51,70.0,100.0,76.0,5.61,2019-03-06 00:01:08
CD,-6.48,16.82,68.4,98.0,20.0,1.59,2019-03-06 00:03:40
,,,,,,,
VU,-15.51,167.18,83.25,97.0,64.0,3.6,2019-03-06 00:03:03
CO,11.54,-72.91,80.6,74.0,0.0,9.17,2019-03-05 23:00:00
BR,-6.03,-37.02,70.56,95.0,8.0,2.59,2019-03-06 00:03:41
RU,63.01,112.47,17.15,76.0,36.0,9.19,2019-03-06 00:03:41
MU,-20.21,57.76,80.6,74.0,20.0,3.36,2019-03-05 23:59:05
,,,,,,,
AU,-34.58,150.85,87.01,35.0,0.0,10.29,2019-03-06 00:02:05
JP,24.8,125.28,69.8,94.0,75.0,17.22,2019-03-05 23:43:00
CA,48.76,-91.62,5.0,49.0,44.0,5.95,2019-03-06 00:00:28
PE,-10.07,-78.15,72.68,73.0,48.0,3.38,2019-03-06 00:03:27
PH,11.72,122.09,79.83,98.0,36.0,18.7,2019-03-06 00:03:43
ID,-2.88,108.27,76.86,99.0,24.0,2.93,2019-03-06 00:03:43
CO,10.99,-74.96,78.8,83.0,0.0,14.99,2019-03-05 23:00:00
NO,67.67,12.69,36.05,100.0,80.0,26.53,2019-03-06 00:03:44
UA,49.29,23.42,39.99,69.0,75.0,6.71,2019-03-06 00:02:31
NO,65.54,13.39,19.0,62.0,0.0,5.01,2019-03-05 23:50:00
LY,29.03,21.55,44.33,77.0,0.0,2.82,2019-03-06 00:03:44
RU,60.73,77.6,3.2,84.0,20.0,6.71,2019-03-05 23:30:00
BR,-1.82,-44.87,76.28,95.0,48.0,3.15,2019-03-06 00:03:37
NE,14.89,5.26,66.96,45.0,0.0,5.06,2019-03-06 00:03:45
PT,37.72,-25.43,55.4,58.0,40.0,8.05,2019-03-06 00:03:39
NE,14.97,8.88,68.22,23.0,0.0,7.85,2019-03-06 00:03:46
IN,25.18,93.12,58.86,96.0,92.0,0.92,2019-03-06 00:03:46
TD,8.67,15.38,81.54,30.0,92.0,8.75,2019-03-06 00:03:46
NU,-19.06,-169.92,84.2,62.0,40.0,18.34,2019-03-05 23:00:00
,,,,,,,
RU,57.27,103.75,23.85,82.0,0.0,7.07,2019-03-06 00:03:47
PT,41.42,-6.55,51.71,89.0,92.0,16.8,2019-03-06 00:03:33
EC,-2.64,-80.39,78.66,85.0,68.0,5.84,2019-03-06 00:03:47
ID,-8.71,116.27,78.8,100.0,40.0,2.24,2019-03-05 23:30:00
CN,28.28,88.52,-6.35,63.0,56.0,1.59,2019-03-06 00:03:48
FO,62.23,-6.59,35.6,98.0,44.0,2.24,2019-03-05 23:50:00
,,,,,,,
US,43.52,-114.32,37.4,55.0,90.0,2.26,2019-03-06 00:00:25
PH,11.0,122.67,78.8,79.0,36.0,12.33,2019-03-06 00:03:48
RU,60.37,93.04,18.0,55.0,44.0,8.41,2019-03-06 00:03:49
BR,-1.2,-46.02,77.4,96.0,80.0,3.38,2019-03-06 00:03:49
SN,14.69,-17.45,69.8,56.0,0.0,19.46,2019-03-05 23:30:00
ZA,-34.0,24.73,66.24,76.0,0.0,12.21,2019-03-06 00:03:49
CA,55.1,-105.3,10.4,51.0,20.0,12.75,2019-03-05 23:00:00
MX,27.52,-110.01,77.0,41.0,90.0,3.36,2019-03-05 22:46:00
MM,19.3,97.96,61.29,93.0,0.0,1.81,2019-03-06 00:03:50
ID,-2.54,115.51,73.35,96.0,88.0,3.15,2019-03-06 00:03:51
TD,13.47,22.2,74.07,30.0,24.0,10.42,2019-03-06 00:03:51
,,,,,,,
RU,55.61,37.97,39.99,80.0,40.0,11.18,2019-03-05 23:49:22
RU,61.92,159.24,8.28,100.0,56.0,6.96,2019-03-06 00:03:51
,,,,,,,
CN,43.65,111.97,9.72,68.0,0.0,3.94,2019-03-06 00:03:52
BR,-23.68,-45.44,73.4,83.0,40.0,1.14,2019-03-05 23:00:00
VE,10.49,-68.2,69.53,95.0,56.0,2.59,2019-03-06 00:03:52
GA,-0.7,10.22,73.13,100.0,88.0,2.15,2019-03-06 00:03:53
NO,59.79,5.78,39.99,86.0,92.0,13.87,2019-03-06 00:02:07
BR,-20.8,-49.22,78.8,69.0,0.0,3.36,2019-03-05 23:00:00
,,,,,,,
,,,,,,,
BR,-10.41,-36.43,77.22,87.0,92.0,5.95,2019-03-06 00:03:54
IS,63.44,-20.27,26.37,100.0,0.0,7.52,2019-03-06 00:03:54
RU,50.6,97.53,-0.23,52.0,20.0,2.37,2019-03-06 00:03:54
US,32.27,-107.76,68.0,14.0,1.0,5.82,2019-03-06 00:00:10
AU,-31.43,152.91,87.01,65.0,12.0,4.7,2019-03-06 00:00:04
RU,45.45,41.98,44.6,36.0,0.0,8.95,2019-03-05 23:30:00
RU,51.36,110.46,10.4,66.0,68.0,2.59,2019-03-06 00:03:55
BR,-8.36,-42.25,73.98,89.0,48.0,2.59,2019-03-06 00:03:55
GF,4.94,-52.33,77.0,88.0,92.0,1.12,2019-03-05 23:30:00
ES,38.18,-1.13,57.2,93.0,75.0,3.36,2019-03-06 00:03:42
MX,17.52,-101.27,84.2,70.0,5.0,11.41,2019-03-05 22:40:00
MX,24.15,-110.32,79.0,29.0,75.0,9.17,2019-03-05 23:45:53
NE,13.21,12.02,72.54,23.0,0.0,8.97,2019-03-06 00:03:56
US,59.64,-151.54,41.0,65.0,90.0,10.29,2019-03-06 00:02:37
CI,5.93,-4.21,78.98,83.0,48.0,8.41,2019-03-06 00:03:57
GL,60.91,-46.05,26.6,53.0,56.0,4.7,2019-03-05 22:50:00
,,,,,,,
BR,-21.64,-41.05,78.8,88.0,75.0,4.7,2019-03-05 23:00:00
US,42.24,-83.61,18.0,61.0,75.0,12.75,2019-03-06 00:00:32
BR,-21.04,-57.87,80.64,81.0,44.0,2.82,2019-03-06 00:04:04
SA,25.02,37.27,58.46,100.0,0.0,11.32,2019-03-06 00:04:04
AU,-14.47,132.26,84.2,66.0,0.0,3.36,2019-03-05 23:30:00
CY,34.78,32.57,50.0,87.0,0.0,6.93,2019-03-05 23:45:31
RU,65.37,58.04,10.35,71.0,76.0,11.99,2019-03-06 00:04:05
BO,-18.9,-66.78,48.2,59.0,12.0,5.28,2019-03-06 00:04:05
CN,36.52,118.54,46.99,35.0,0.0,11.88,2019-03-05 23:55:55
GL,69.22,-51.1,14.0,51.0,20.0,9.17,2019-03-05 22:50:00
US,35.61,-88.82,35.6,37.0,1.0,9.17,2019-03-06 00:01:24
KZ,48.57,83.65,21.78,77.0,68.0,3.15,2019-03-06 00:04:09
CN,36.62,101.77,12.24,84.0,88.0,2.37,2019-03-06 00:00:41
CD,-7.57,24.18,68.36,93.0,36.0,2.26,2019-03-06 00:04:09
PH,9.42,123.33,80.6,78.0,20.0,6.93,2019-03-05 23:00:00
CN,44.06,131.12,27.54,71.0,8.0,5.61,2019-03-06 00:04:10
CA,43.74,-81.71,18.0,50.0,44.0,4.0,2019-03-06 00:02:30
DZ,27.87,-0.29,64.4,20.0,0.0,11.41,2019-03-05 23:00:00
,,,,,,,
BF,12.73,-3.87,67.28,42.0,8.0,5.95,2019-03-06 00:04:10
PG,-2.57,150.8,85.05,98.0,20.0,4.16,2019-03-06 00:04:11
NO,69.47,25.52,23.0,85.0,90.0,36.91,2019-03-05 23:20:00
ZM,-9.8,29.07,68.49,93.0,32.0,3.6,2019-03-06 00:04:11
RU,66.32,-179.17,21.06,87.0,24.0,2.93,2019-03-06 00:04:12
IT,41.0,15.66,41.0,80.0,75.0,11.41,2019-03-05 22:55:00
KH,10.62,104.18,68.0,88.0,20.0,2.24,2019-03-05 23:00:00
US,39.39,-87.69,21.99,67.0,40.0,17.22,2019-03-06 00:03:27
CN,27.65,113.49,50.0,100.0,90.0,6.71,2019-03-05 23:00:00
GA,-1.9,11.91,67.1,95.0,80.0,2.15,2019-03-06 00:04:13
NA,-24.83,16.98,78.57,23.0,88.0,3.15,2019-03-06 00:04:13
US,36.85,-75.98,37.99,74.0,1.0,4.7,2019-03-06 00:00:13
US,33.66,-112.34,82.0,14.0,1.0,3.38,2019-03-06 00:01:27
AU,-36.55,145.99,64.0,55.0,90.0,11.41,2019-03-06 00:02:23
RU,64.73,177.51,21.2,85.0,64.0,6.71,2019-03-06 00:03:11
CA,54.72,-113.29,14.22,79.0,24.0,7.4,2019-03-06 00:04:14
PY,-23.49,-58.8,85.68,64.0,24.0,6.4,2019-03-06 00:04:14
NO,70.24,22.35,25.0,92.0,75.0,24.16,2019-03-05 23:55:07
,,,,,,,
IR,31.89,54.36,44.6,33.0,0.0,2.24,2019-03-05 23:00:00
RU,52.62,48.95,36.68,92.0,92.0,20.38,2019-03-06 00:04:15
PE,-12.59,-69.19,33.8,334.0,75.0,3.36,2019-03-05 23:00:00
AR,-33.01,-68.8,69.8,60.0,75.0,2.24,2019-03-05 23:00:00
US,45.75,-87.06,10.4,60.0,1.0,10.29,2019-03-06 00:03:18
,,,,,,,
PE,-13.74,-72.9,48.6,87.0,48.0,1.81,2019-03-06 00:04:16
BR,-20.25,-43.81,73.4,69.0,20.0,9.17,2019-03-05 23:00:00
RU,45.05,136.61,34.16,74.0,8.0,7.29,2019-03-06 00:04:17
CD,-4.07,19.59,76.23,90.0,32.0,3.15,2019-03-06 00:04:17
FR,47.55,-2.56,52.0,81.0,92.0,21.92,2019-03-06 00:03:56
JP,26.35,127.87,69.8,94.0,90.0,18.34,2019-03-05 23:56:00
MX,28.39,-105.62,72.0,22.0,75.0,17.22,2019-03-05 23:59:01
RU,63.93,31.65,4.41,67.0,0.0,7.18,2019-03-06 00:04:18
BF,10.33,-3.18,75.24,27.0,0.0,6.73,2019-03-06 00:04:18
PE,-13.71,-76.2,71.6,30.0,40.0,23.04,2019-03-05 23:00:00
SD,15.16,33.13,70.74,19.0,0.0,11.77,2019-03-06 00:04:19
MU,-20.01,57.66,80.6,74.0,20.0,3.36,2019-03-05 23:59:05
FR,45.6,-0.6,55.0,54.0,0.0,16.11,2019-03-06 00:03:09
PT,41.34,-6.71,51.71,89.0,92.0,16.8,2019-03-06 00:00:39
IN,27.93,96.16,46.17,100.0,92.0,1.59,2019-03-06 00:04:20
FI,60.8,25.73,10.4,66.0,0.0,8.05,2019-03-06 00:03:04
AR,-45.87,-67.48,69.8,32.0,0.0,16.11,2019-03-05 23:00:00
GN,9.65,-9.78,70.29,38.0,0.0,5.39,2019-03-06 00:04:20
NG,4.92,6.26,73.44,92.0,20.0,2.48,2019-03-06 00:04:21
RU,58.77,47.96,33.3,93.0,92.0,15.23,2019-03-06 00:04:21
CA,45.62,-61.36,24.01,79.0,1.0,5.82,2019-03-06 00:03:53
AR,-37.33,-59.14,75.99,45.0,48.0,1.99,2019-03-05 23:59:22
RU,58.36,46.31,34.61,96.0,88.0,8.97,2019-03-06 00:04:21
NZ,-45.87,170.5,75.99,40.0,0.0,7.0,2019-03-05 23:58:28
GF,5.16,-52.64,77.0,88.0,92.0,1.12,2019-03-05 23:30:00
CL,-28.58,-70.76,64.71,79.0,0.0,1.81,2019-03-06 00:04:22
,,,,,,,
ID,-3.36,135.5,75.42,84.0,12.0,2.15,2019-03-06 00:04:23
,,,,,,,
SA,17.54,44.22,77.0,33.0,40.0,11.41,2019-03-05 23:00:00
AU,-38.38,142.48,56.3,100.0,80.0,18.03,2019-03-06 00:04:24
IN,26.32,94.52,50.85,100.0,92.0,1.92,2019-03-06 00:04:24
,,,,,,,
NO,62.58,6.12,32.0,100.0,12.0,14.99,2019-03-06 00:00:44
AU,-24.4,150.51,81.9,61.0,76.0,9.19,2019-03-06 00:04:24
AU,-34.72,135.86,63.18,90.0,68.0,15.01,2019-03-06 00:04:24
NG,12.75,4.71,75.65,30.0,0.0,7.29,2019-03-06 00:04:25
RU,61.68,96.39,17.28,69.0,32.0,11.43,2019-03-06 00:04:25
TH,17.49,101.72,60.8,93.0,20.0,2.93,2019-03-05 23:00:00
EG,31.35,27.25,50.0,87.0,0.0,3.36,2019-03-05 23:00:00
RU,58.52,125.52,14.22,74.0,76.0,2.59,2019-03-06 00:04:26
RU,65.53,72.51,-0.9,77.0,0.0,8.08,2019-03-06 00:04:26
UY,-34.48,-54.34,63.63,75.0,0.0,6.62,2019-03-06 00:04:26
RU,65.95,111.51,18.54,82.0,76.0,7.74,2019-03-06 00:04:26
CL,-22.46,-68.93,73.4,25.0,0.0,23.04,2019-03-05 23:00:00
IN,21.33,74.56,53.37,66.0,0.0,4.27,2019-03-06 00:04:27
RU,53.86,120.88,9.5,70.0,0.0,3.15,2019-03-06 00:04:27
,,,,,,,
,,,,,,,
US,37.04,-77.1,39.99,64.0,1.0,4.7,2019-03-06 00:00:38
RU,59.36,143.24,11.03,90.0,8.0,5.61,2019-03-06 00:04:28
US,43.37,-124.22,46.4,65.0,90.0,4.94,2019-03-06 00:01:39
,,,,,,,
GW,11.28,-15.83,78.3,91.0,0.0,5.17,2019-03-06 00:04:28
RU,60.35,102.28,25.02,68.0,20.0,11.32,2019-03-06 00:04:28
IS,64.25,-15.21,29.88,100.0,12.0,8.41,2019-03-06 00:04:29
IT,38.02,12.54,60.01,87.0,0.0,4.7,2019-03-06 00:01:12
NG,12.18,6.51,68.22,44.0,0.0,3.94,2019-03-06 00:04:29
EE,57.82,26.93,21.2,67.0,90.0,10.29,2019-03-06 00:01:16
BR,-9.67,-35.74,77.0,83.0,40.0,2.24,2019-03-05 23:00:00
PE,-5.09,-81.11,80.78,65.0,68.0,5.95,2019-03-06 00:04:30
BR,-1.77,-55.87,80.01,83.0,24.0,5.28,2019-03-06 00:04:30
PG,-5.21,145.81,76.14,100.0,88.0,3.6,2019-03-06 00:04:31
JP,35.73,140.83,50.0,76.0,75.0,3.36,2019-03-05 23:30:00
OM,22.57,59.53,67.23,100.0,0.0,2.15,2019-03-06 00:04:31
,,,,,,,
CZ,49.47,15.0,37.99,86.0,0.0,12.75,2019-03-06 00:03:12
,,,,,,,
RU,58.94,69.13,5.4,83.0,0.0,5.39,2019-03-06 00:04:32
NZ,-45.41,167.72,68.22,51.0,12.0,11.65,2019-03-06 00:04:32
AR,-42.77,-65.04,69.03,56.0,24.0,6.85,2019-03-06 00:01:01
NO,61.32,7.8,18.68,88.0,64.0,1.92,2019-03-06 00:04:33
US,43.97,-111.68,34.0,40.0,90.0,8.05,2019-03-06 00:01:23
CA,45.98,-81.93,10.4,60.0,75.0,12.75,2019-03-05 23:46:09
,,,,,,,
CA,48.86,-53.99,23.0,67.0,20.0,17.22,2019-03-06 00:02:47
CN,30.41,111.89,48.0,90.0,0.0,4.94,2019-03-06 00:04:10
NO,63.83,10.7,21.99,72.0,0.0,11.41,2019-03-06 00:00:15
CL,-25.41,-70.49,65.52,77.0,0.0,2.37,2019-03-06 00:04:34
IN,10.57,72.64,80.28,100.0,92.0,10.31,2019-03-06 00:04:34
US,44.76,-85.62,15.8,66.0,90.0,3.36,2019-03-06 00:02:06
ZA,-34.05,23.37,67.59,95.0,0.0,5.06,2019-03-06 00:04:35
ID,-8.09,111.9,73.53,99.0,8.0,3.6,2019-03-06 00:04:35
MN,50.23,106.21,14.76,61.0,0.0,1.03,2019-03-06 00:04:35
US,32.72,-100.92,46.99,33.0,1.0,8.05,2019-03-06 00:00:14
,,,,,,,
NO,61.6,5.03,39.2,86.0,92.0,11.41,2019-03-06 00:00:12
MZ,-17.88,36.89,75.15,96.0,92.0,13.44,2019-03-06 00:04:36
PF,-17.73,-149.15,87.8,66.0,40.0,9.17,2019-03-06 00:03:06
ID,-0.69,100.95,67.23,87.0,44.0,1.25,2019-03-06 00:03:54
,,,,,,,
ID,-3.41,114.85,75.2,100.0,40.0,2.24,2019-03-05 23:00:00
CA,46.49,-84.36,10.4,84.0,90.0,9.17,2019-03-05 23:34:00
CN,35.54,106.68,23.4,70.0,12.0,2.71,2019-03-06 00:04:37
RU,49.22,143.1,17.64,70.0,12.0,4.05,2019-03-06 00:04:37
PG,-2.02,147.27,83.34,99.0,20.0,3.83,2019-03-06 00:04:37
CD,0.12,29.29,59.58,91.0,20.0,2.15,2019-03-06 00:04:37
PE,-5.56,-80.82,78.98,75.0,32.0,7.4,2019-03-06 00:04:38
CN,32.31,121.18,46.99,91.0,0.0,8.86,2019-03-06 00:03:47
NG,6.63,3.35,82.4,88.0,20.0,2.24,2019-03-05 23:00:00
PE,-7.96,-79.24,77.0,83.0,75.0,9.17,2019-03-05 23:00:00
,,,,,,,
,,,,,,,
FR,45.58,4.77,50.0,53.0,0.0,11.41,2019-03-06 00:04:19
ID,-0.58,117.09,79.02,84.0,20.0,3.04,2019-03-06 00:04:39
MR,20.52,-13.05,55.58,25.0,0.0,5.06,2019-03-05 23:59:53
BR,-9.01,-35.22,77.63,95.0,88.0,7.07,2019-03-06 00:04:39
,,,,,,,
IR,29.62,51.65,39.24,74.0,0.0,3.94,2019-03-06 00:04:40
CN,42.84,93.51,42.21,46.0,76.0,14.0,2019-03-06 00:04:40
ID,1.74,98.78,65.34,100.0,0.0,2.15,2019-03-06 00:04:40
RU,46.45,135.83,23.22,71.0,0.0,3.15,2019-03-06 00:04:40
ZW,-16.82,29.68,65.21,90.0,36.0,5.73,2019-03-06 00:04:41
UY,-34.68,-56.22,73.0,78.0,0.0,13.87,2019-03-06 00:01:18
RU,52.13,46.08,36.0,96.0,0.0,13.42,2019-03-06 00:04:34
ID,-8.65,115.22,82.4,83.0,20.0,4.7,2019-03-05 23:30:00
SO,5.35,48.53,75.78,93.0,32.0,12.77,2019-03-06 00:04:42
,,,,,,,
